PeopleInterested,audiobookPrice,author,category,ebookPrice,paperPrice,publisher,score,title
,"37,90",Piotr Borlik,Kryminał,"32,00","39,99",Prószyński i S-ka,,Boska proporcja 
43,"36,90",Ann Cleeves,Kryminał,"29,90","36,90",Czwarta Strona,,Czerń kruka 
17,"34,99",Jorn Lier Horst,Kryminał,"27,90",,Smak Słowa,,Seria o komisarzu Williamie Wistingu. Kluczowy świadek 
19,"29,90",Jędrzej Pasierski,Kryminał,"27,90","34,90",Wydawnictwo Czarne,,Roztopy 
20,"34,90",Robert Galbraith,Kryminał,"31,90",,Wydawnictwo Dolnośląskie,,Cormoran Strike prowadzi śledztwo. Żniwa zła 
53,"44,90",Piotr Kościelny,Kryminał,"29,90",,Initium,,Zwierz 
24,,Steve Cavanagh,Kryminał,"34,00",,Wydawnictwo Albatros,,Wkręceni 
25,"32,00",Jo Nesbo,Kryminał,"27,92",,Wydawnictwo Dolnośląskie,,Wybawiciel 
,,Cara Hunter,Kryminał,"29,90",,Filia,,Kto porwał Daisy Mason 
19,,Minka Kent,Kryminał,"29,90",,Filia,,Idealne życie 
32,,Leopold Tyrmand,Kryminał,"34,90",,Wydawnictwo MG,,Zly 
38,"49,90",Hideo Yokoyama,Kryminał,"39,90",,Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc,,Sześć Cztery 
28,"39,90",Remigiusz Mróz,Kryminał,"29,90",,Czwarta Strona,,Parabellum 1. Prędkość ucieczki 
15,"31,00",Charlotte Link,Kryminał,"33,50","39,90",Sonia Draga,,Decyzja 
24,"36,90",Małgorzata Rogala,Kryminał,"29,90",,Czwarta Strona,,Cenny motyw 
31,"32,00",Jo Nesbo,Kryminał,"27,92","34,90",Wydawnictwo Dolnośląskie,,Pentagram 
43,,Marcel Moss,Kryminał,"29,90",,Filia,,Nie patrz 
31,"36,90",Małgorzata Rogala,Kryminał,"29,90",,Czwarta Strona,,Zapłata 
47,"39,90",Terry Hayes,Kryminał,"33,90","44,90",Rebis,,Pielgrzym 
26,"36,90",Małgorzata Rogala,Kryminał,"29,90",,Czwarta Strona,,Grzech zaniechania 
57,"44,90",Katarzyna Bonda,Kryminał,"35,90",,Muza,,Okularnik 
32,"39,99",Aneta Jadowska,Kryminał,"39,99",,Sine Qua Non,,Martwy sezon 
43,,Harlan Coben,Kryminał,"28,90",,Wydawnictwo Albatros,,Bez skrupułów 
70,"36,90",Remigiusz Mróz,Kryminał,"26,90",,Filia,,Przewieszenie 
,"32,90",Stephen King,Kryminał,"32,50","34,90",Wydawnictwo Albatros,"4,4",Znalezione nie kradzione 
31,"39,90",Katarzyna Bonda,Kryminał,"27,90",,Muza,,Sprawa Niny Frank 
61,"34,90",Harlan Coben,Kryminał,"31,50","37,89",Wydawnictwo Albatros,"4,1",Nieznajomy 
27,"39,99",Stieg Larsson,Kryminał,"44,90",,Czarna Owca,,"Millennium. Zamek z piasku, który runął "
11,,Karin Slaughter,Kryminał,"24,99",,HarperCollins,,Moje śliczne 
25,"39,99",Stieg Larsson,Kryminał,"39,90",,Czarna Owca,,"Millennium. Dziewczyna, która igrała z ogniem "
36,"29,90",Katarzyna Puzyńska,Kryminał,"28,80","36,00",Prószyński i S-ka,"4,4",Więcej czerwieni 
28,"34,99",David Lagercrantz,Kryminał,"34,99",,Czarna Owca,,Millennium. Co nas nie zabije 
40,"32,90",Katarzyna Puzyńska,Kryminał,"28,80","36,00",Prószyński i S-ka,"4,4",Trzydziesta pierwsza 
50,"34,90",Katarzyna Puzyńska,Kryminał,"31,90","39,90",Prószyński i S-ka,"4,4",Z jednym wyjątkiem 
28,"29,90",Wojciech Chmielarz,Kryminał,"27,90","34,90",Wydawnictwo Czarne,,Wampir 
39,"32,90",Katarzyna Puzyńska,Kryminał,"30,40","38,00",Prószyński i S-ka,"4,4",Utopce 
32,"32,00",Jo Nesbo,Kryminał,"27,92",,Wydawnictwo Dolnośląskie,"4,3",Pierwszy śnieg 
30,"34,90",Robert Galbraith,Kryminał,"31,90","39,90",Wydawnictwo Dolnośląskie,"4,3",Wołanie kukułki 
54,"33,00",Jo Nesbo,Kryminał,"27,92",,Wydawnictwo Dolnośląskie,"3,9",Człowiek nietoperz 
25,"32,00",Jo Nesbo,Kryminał,"31,92","39,90",Wydawnictwo Dolnośląskie,"4,5",Pancerne serce 
22,"32,00",Jo Nesbo,Kryminał,"27,92","39,90",Wydawnictwo Dolnośląskie,,Upiory 
35,"29,90",Anna Kańtoch,Kryminał,"26,90","34,90",Wydawnictwo Czarne,"4,2",Łaska 
37,,Simon Beckett,Kryminał,"29,99",,Czarna Owca,,Szepty zmarłych 
22,,Rachel Abbott,Kryminał,"29,90",,Filia,,Idealne kłamstwo 
13,"39,90",M.W. Craven,Kryminał,"29,90",,Filia,,Witajcie w Puppet Show 
37,"36,90",Małgorzata Rogala,Kryminał,"29,90",,Czwarta Strona,,Punkt widzenia 
32,"36,90",Ann Cleeves,Kryminał,"29,90",,Czwarta Strona,,Biel nocy 
17,"39,90",Rachel Abbott,Kryminał,"29,90",,Filia,,Tylko niewinni 
23,"36,90",Robert Małecki,Kryminał,"29,90","36,90",Czwarta Strona,,Porzuć swój strach 
22,"36,90",Małgorzata Rogala,Kryminał,"29,90","14,90",Czwarta Strona,,Kopia doskonała 
22,"29,99",Vincent V. Severski,Kryminał,"24,99",,Czarna Owca,,Nielegalni 
34,"36,90",Małgorzata Rogala,Kryminał,"29,90",,Czwarta Strona,,Zastrzyk śmierci 
35,"35,00",Olga Rudnicka,Kryminał,"28,00",,Prószyński i S-ka,,Zbyt piękne 
20,"39,90",Rachel Abbott,Kryminał,"29,90",,Filia,,Obce dziecko 
18,"36,90",Robert Małecki,Kryminał,"29,90","14,90",Czwarta Strona,,Najgorsze dopiero nadejdzie 
70,"29,90",Emilia Wituszyńska,Kryminał,"26,90","36,90",Wydawnictwo Kobiece,,Niebezpieczna gra 
25,"30,00",Chris Carter,Kryminał,"31,50","38,00",Sonia Draga,,Rzeźbiarz śmierci 
15,,Kathryn Croft,Kryminał,"36,90",,Burda Książki,,Córeczka 
119,"39,90",Emilia Wituszyńska,Kryminał,"29,90","39,90",Wydawnictwo Kobiece,"4,4",Układ idealny 
29,,Remigiusz Mróz,Kryminał,"19,99",,Wydawnictwo Dragon,,Wieża milczenia 
,"37,90",Emily Elgar,Kryminał,"31,00",,Marginesy,,Gdybyście ją znali 
22,"34,00",Harlan Coben,Kryminał,"28,90",,Wydawnictwo Albatros,,Odnaleziony 
40,"33,90",Alek Rogoziński,Kryminał,"27,90",,Edipresse Książki,,Miłość ci nic nie wybaczy 
30,"30,00",Chris Carter,Kryminał,"31,50",,Sonia Draga,,Nocny Prześladowca 
32,,Aneta Jadowska,Kryminał,"31,90",,Sine Qua Non,,Trup na plaży i inne sekrety rodzinne 
18,"19,90",Agata Christie,Kryminał,"16,99","24,90",Wydawnictwo Dolnośląskie,,I nie było już nikogo 
14,,J.D. Barker,Kryminał,"31,99",,Czarna Owca,,Czwarta małpa 
50,"36,90",Agnieszka Pietrzyk,Kryminał,"29,90",,Czwarta Strona,,Zostań w domu 
20,,Kathryn Croft,Kryminał,"31,00",,Burda Książki,,Nie pozwól mu odejść 
44,,Remigiusz Mróz,Kryminał,"31,00",,Skarpa Warszawska,,Zabójczy pocisk 
102,"39,90",Hanna Greń,Kryminał,"31,90",,Czwarta Strona,,Wioska kłamców 
15,"36,90",Alek Rogoziński,Kryminał,"26,90",,Filia,,Do trzech razy śmierć 
18,"36,90",Remigiusz Mróz,Kryminał,"29,90",,Czwarta Strona,,Parabellum 2. Horyzont zdarzeń 
11,,Remigiusz Mróz,Kryminał,"27,90",,Czwarta Strona,,Parabellum. Głębia osobliwości 
10,,Alek Rogoziński,Kryminał,"32,00",,Skarpa Warszawska,,"Raz, dwa, trzy… giniesz Ty! "
,,Magdalena Knedler,Kryminał,"33,00",,Novae Res,,Nie całkiem białe Boże Narodzenie 
18,"39,90",Ann Cleeves,Kryminał,"31,89",,Czwarta Strona,,Błękit błyskawicy 
16,"29,90",Anna Kańtoch,Kryminał,"26,90","34,90",Wydawnictwo Czarne,,Wiara 
21,,Max Czornyj,Kryminał,"34,90",,Filia,,Balladyna 
15,,Rachel Abbott,Kryminał,"29,90",,Filia,,Szóste okno 
17,"32,50",Tess Gerritsen,Kryminał,"27,00","33,90",Wydawnictwo Albatros,,Milcząca dziewczyna 
12,"34,90",Jakub Ćwiek,Kryminał,"31,00","37,90",Marginesy,,Szwindel 
,"34,90",Lorena Franco,Kryminał,"30,50",,Wydawnictwo Albatros,,Ona to wie 
14,"36,90",Robert Małecki,Kryminał,"29,90","36,90",Czwarta Strona,,Koszmary zasną ostatnie 
11,"39,90",Lucy Foley,Kryminał,"29,90",,Filia,,Morderca jest wśród nas 
23,"34,99",Simon Beckett,Kryminał,"29,99",,Czarna Owca,,Zimne ognie 
14,"39,90",Rachel Abbott,Kryminał,"29,90",,Filia,,Podejdź bliżej 
,"36,90",Alek Rogoziński,Kryminał,"26,90",,Filia,,Kto zabił Kopciuszka? 
23,"39,90",Sarah A. Denzil,Kryminał,"29,90",,Filia,,Ktoś musi umrzeć 
15,"34,99",J.D. Barker,Kryminał,"34,99","39,99",Czarna Owca,,Piąta ofiara 
,,Michel Bussi,Kryminał,"29,90",,Świat Książki,,Mama kłamie 
,,Sylwia Chutnik,Kryminał,"25,01",,Od deski do deski,,Smutek cinkciarza 
14,"39,90",Caine Rachel,Kryminał,"29,90",,Filia,,Mój ojciec jest mordercą 
17,,Marta Matyszczak,Kryminał,"23,92",,Wydawnictwo Dolnośląskie,,Kryminał pod psem. Zbrodnia nad urwiskiem 
18,"39,90",Ann Cleeves,Kryminał,"31,89",,Czwarta Strona,,Martwa woda 
19,"34,90",Jo Nesbo,Kryminał,"27,92",,Wydawnictwo Dolnośląskie,,Syn 
42,"38,00",Olga Rudnicka,Kryminał,"30,40",,Prószyński i S-ka,,Byle do przodu 
,,Robert Bryndza,Kryminał,"29,90",,Filia,,Dziewczyna w lodzie 
45,"37,90",Igor Brejdygant,Kryminał,"31,00",,Marginesy,,Szadź 
,"34,90",Umberto Eco,Kryminał,"25,00",,Wydawnictwo Literackie/Oficyna Literacka Noir sur Blanc,,Cmentarz w Pradze 
,,,Kryminał,"28,00",,Zysk i S-ka,,Cicha noc. Świąteczne opowiadania kryminalne 
20,"39,90",Leszek Herman,Kryminał,"39,90","49,90",Muza,,Sedinum. Wiadomość z podziemi 
13,"37,90",Piotr Borlik,Kryminał,"32,00","39,99",Prószyński i S-ka,,Materiał ludzki 
14,"36,90",Remigiusz Mróz,Kryminał,"29,90",,Czwarta Strona,,W cieniu prawa 
19,"39,90",Marek Stelar,Kryminał,"29,90",,Filia,,Niepamięć 
,,Tana French,Kryminał,"36,00",,Wydawnictwo Albatros,,Wiedźmie drzewo 
11,"34,90",Harlan Coben,Kryminał,"28,90","34,00",Wydawnictwo Albatros,,Najczarniejszy strach 
36,,Mieczysław Gorzka,Kryminał,"34,90",,Bukowy Las,,Martwy sad 
12,"27,00",Jo Nesbo,Kryminał,"23,92","29,90",Wydawnictwo Dolnośląskie,,Łowcy głów 
31,"29,90",Krzysztof Bochus,Kryminał,"32,00",,Skarpa Warszawska,,Lista Lucyfera 
25,"24,90",Agata Christie,Kryminał,"16,99",,Wydawnictwo Dolnośląskie,,Morderstwo w Orient Expressie 
31,,Hanna Greń,Kryminał,"32,90",,Replika,,Śmiertelne wyliczanki. Mam chusteczkę haftowaną 
16,"39,90",Remigiusz Mróz,Kryminał,"31,89",,Czwarta Strona,,Parabellum 3. Głębia osobliwości 
,"39,80",Sebastian Fitzek,Kryminał,"29,70",,Amber,,Łamacz dusz 
,"39,90",Robert Bryndza,Kryminał,"29,90",,Filia,,Z zimną krwią 
14,"34,90",Harlan Coben,Kryminał,"26,00",,Wydawnictwo Albatros,,Jedyna szansa 
42,,Marek Stelar,Kryminał,"32,90",,Filia,,Intruz 
11,"29,90",Anna Kańtoch,Kryminał,"27,90","34,90",Wydawnictwo Czarne,,Pokuta 
22,"39,90",Ann Cleeves,Kryminał,"31,90",,Czwarta Strona,,Czerwień kości 
,"39,80",Sebastian Fitzek,Kryminał,"29,70",,Amber,,Pasażer 23 
17,,Marta Matyszczak,Kryminał,"23,92",,Wydawnictwo Dolnośląskie,,Kryminał pod psem. Strzały nad jeziorem 
15,"34,90",Alek Rogoziński,Kryminał,"27,90","39,90",Edipresse Książki,,Dom tajemnic 
24,,Rachel Abbott,Kryminał,"29,90",,Filia,,Droga ucieczki 
19,"38,00",Olga Rudnicka,Kryminał,"30,40",,Prószyński i S-ka,,Miłe Natalii początki 
77,"39,90",Muniak Klaudia,Kryminał,"29,90","39,90",Wydawnictwo Kobiece,"3,9",Psychopata 
,,Hans Rosenfeldt,Kryminał,"34,90",,Czarna Owca,,Sebastian Bergman. Ciemne sekrety 
11,"34,00",Harlan Coben,Kryminał,"25,00","34,00",Wydawnictwo Albatros,,Bez śladu 
13,"36,90",Alek Rogoziński,Kryminał,"26,90",,Filia,,Zbrodnia w wielkim mieście 
11,,Jorn Lier Horst,Kryminał,"27,99",,Smak Słowa,,Seria o komisarzu Williamie Wistingu. Kod Kathariny 
17,,Rachel Abbott,Kryminał,"29,90",,Filia,,Zabij mnie znów 
,,Mads Peder Nordbo,Kryminał,"31,00",,Burda Książki,,Dziewczyna bez skóry 
14,"34,90",Harlan Coben,Kryminał,"26,00",,Wydawnictwo Albatros,,Bez pożegnania 
12,"34,50",Stephen King,Kryminał,"32,50","38,50",Wydawnictwo Albatros,,Koniec warty 
22,"32,90",Marek Krajewski,Kryminał,"27,90",,Znak,,Śmierć w Breslau 
12,"34,90",Harlan Coben,Kryminał,"26,90",,Wydawnictwo Albatros,,Zachowaj Spokój 
10,"29,00",Charlotte Link,Kryminał,"31,50","38,00",Sonia Draga,,Nieproszony gość 
14,,Jorn Lier Horst,Kryminał,"27,99",,Smak Słowa,,Seria o komisarzu Williamie Wistingu. Ukryty pokój 
,,Jorn Lier Horst,Kryminał,"27,90",,Smak Słowa,,Seria o komisarzu Williamie Wistingu. Felicia zaginęła 
15,,Alek Rogoziński,Kryminał,"28,99",,Melanż,,Morderstwo na Korfu 
18,"37,90",Harlan Coben,Kryminał,"28,90","34,00",Wydawnictwo Albatros,,Krótka piłka 
,"34,90",Francis Duncan,Kryminał,"28,00",,Zysk i S-ka,,Morderstwo na Święta 
48,"39,90",Caine Rachel,Kryminał,"29,90",,Filia,,Tajemnica mordercy 
12,"35,00",Olga Rudnicka,Kryminał,"28,00",,Prószyński i S-ka,,Diabli nadali 
169,,Ryszard Ćwirlej,Kryminał,"34,30",,Muza,,Jedyne wyjście 
24,"36,90",Przemysław Żarski,Kryminał,"29,90",,Czwarta Strona,,Ślad 
,"39,90",Dario Correnti,Kryminał,"31,00",,Burda Książki,,Zmowa 
,,Sebastian Fitzek,Kryminał,"29,70",,Amber,,Przesyłka 
,"36,90",Przemysław Borkowski,Kryminał,"29,90","36,90",Czwarta Strona,,Widowisko 
11,,Marta Matyszczak,Kryminał,"23,92",,Wydawnictwo Dolnośląskie,,Kryminał pod psem. Tajemnicza śmierć Marianny Biel 
,,Sebastian Fitzek,Kryminał,"29,70",,Amber,,Noc ósma 
13,,Alek Rogoziński,Kryminał,"26,90",,Filia,,"Lustereczko, powiedz przecie "
,"36,99",Teresa Driscoll,Kryminał,"31,57",,Sine Qua Non,,Obserwuję Cię 
,,Sarah Pinborough,Kryminał,"39,99",,Prószyński i S-ka,,I niech zginę 
,"29,00",Charlotte Link,Kryminał,"33,00",,Sonia Draga,,Gra cieni 
40,"39,90",Mieczysław Gorzka,Kryminał,"34,90",,Bukowy Las,,Iluzja 
,"36,99",Amy Lloyd,Kryminał,"31,99",,Czarna Owca,,Niewinna żona 
,"25,57",Tomasz Mróz,Kryminał,"21,25",,Videograf,,Dziecięce zabawy 
,,Robert Bryndza,Kryminał,"29,90",,Filia,,Ostatni oddech 
11,"39,90",Marek Stelar,Kryminał,"29,90",,Filia,,Nietykalny 
,"34,90",Robert Harris,Kryminał,"30,50",,Wydawnictwo Albatros,,Monachium 
,,Charlie Donlea,Kryminał,"29,90",,Filia,,Uprowadzona 
,"30,00",Samuel Bjørk,Kryminał,"32,50",,Sonia Draga,,Sowa 
,,Jungstedt,Kryminał,"19,90",,Bellona,,Niewidzialny 
,,Jorn Lier Horst,Kryminał,"27,90",,Smak Słowa,,Seria o komisarzu Williamie Wistingu. Gdy mrok zapada 
15,"39,99",S. K. Tremayne,Kryminał,"34,99",,Czarna Owca,,Zanim umarłam 
,,Antonio Manzini,Kryminał,"27,90",,Muza,,Czarna trasa 
17,"32,00",Olga Rudnicka,Kryminał,"25,60",,Prószyński i S-ka,,Były sobie świnki trzy 
,,Jorn Lier Horst,Kryminał,"27,90",,Smak Słowa,,Seria o komisarzu Williamie Wistingu. Jedna jedyna 
117,"45,00",Kasia Magiera,Kryminał,"36,00",,Melanż,,Woskowe lalki 
,"39,90",Cynthia Swanson,Kryminał,"29,90",,Wydawnictwo Kobiece,,Szklany las 
35,,Camilla Läckberg,Kryminał,"24,99",,Czarna Owca,,Niemiecki bękart (wyd. 3) 
17,"34,90",Harlan Coben,Kryminał,"30,00","35,29",Wydawnictwo Albatros,,Wszyscy mamy tajemnice 
,"27,50",Charlotte Link,Kryminał,"33,00","39,00",Sonia Draga,,Drugie dziecko 
10,"32,00",Olga Rudnicka,Kryminał,"25,60",,Prószyński i S-ka,,Zacisze 13 
,"31,90",Mario Puzo,Kryminał,"26,50","35,50",Wydawnictwo Albatros,,Rodzina Borgiów 
12,,Michael Hjorth,Kryminał,"34,99",,Czarna Owca,,Sebastian Bergman. Najwyższa sprawiedliwość 
17,"34,90",Maciej Siembieda,Kryminał,"34,90",,Wielka Litera,,Miejsce i imię 
